"","CMCSA","FISV","MSFT","JNJ","CSCO","ADS","CL","BBT","AAPL","BFB","Rf","SP500"
"2010-06-17",7.037233,12.2025,21.256685,45.777473,18.578566,69.373528,30.712414,23.418579,26.008745,11.226457,1.988,1116.040039
"2010-06-18",7.01072,12.22,21.313112,45.777473,18.835155,68.98214,30.594721,23.300379,26.219212,11.105079,2.016,1117.51001
"2010-06-21",6.950117,12.1225,20.918129,45.7388,18.714876,67.553566,30.811108,23.190063,25.846111,11.155499,2.028,1113.199951
"2010-06-22",6.908456,11.955,20.773031,45.762016,18.4182,65.068245,30.727591,22.898514,26.198172,11.155499,1.966,1095.310059
"2010-06-23",6.88573,11.9125,20.402229,45.823898,18.329994,65.528137,30.496021,22.7094,25.922642,11.090143,1.915,1092.040039
"2010-06-24",6.749379,11.7025,20.152336,46.10236,18.097469,64.138695,30.492228,22.197216,25.73418,11.108814,1.941,1073.689941
"2010-06-25",6.692565,11.765,19.773474,45.406181,17.784742,62.524227,30.002502,22.662125,25.514153,10.890335,1.911,1076.76001
"2010-06-28",6.859217,11.7625,19.596134,45.986328,17.977182,61.800159,30.082216,22.480886,25.667219,11.015447,1.834,1074.569946
"2010-06-29",6.696355,11.4825,18.790045,45.823898,17.335714,58.316807,29.611479,21.495922,24.506784,10.780162,1.786,1041.23999
"2010-06-30",6.578938,11.415,18.54821,45.684654,17.087149,58.238537,29.900007,20.731586,24.062895,10.686797,1.795,1030.709961
"2010-07-01",6.719077,11.455,18.66913,45.692383,17.047052,58.238537,29.93037,20.826145,23.771114,10.68493,1.795,1027.369995
"2010-07-02",6.684241,11.3675,18.757797,45.70013,16.942818,54.500778,29.884821,20.503077,23.623789,10.813776,1.812,1022.580017
"2010-07-06",6.814404,11.375,19.201149,45.70013,17.111198,53.453812,29.903784,20.904943,23.785467,10.95756,1.76,1028.060059
"2010-07-07",6.829717,11.59,19.58807,46.883629,18.025299,54.608402,30.742785,21.673624,24.745962,11.222723,1.776,1060.27002
"2010-07-08",6.829717,11.5175,19.676741,47.479244,18.081425,55.361828,31.114813,21.82419,24.690466,11.504692,1.801,1070.25
"2010-07-09",6.917768,11.565,19.563889,46.829479,18.201702,56.946949,31.18697,22.331358,24.83684,11.429997,1.839,1077.959961
"2010-07-12",7.086215,11.5025,20.015306,46.574203,18.329994,54.862808,31.448898,22.283813,24.613934,11.323561,1.829,1078.75
"2010-07-13",7.281459,11.775,20.257132,46.798542,18.51442,57.455761,31.566601,22.656267,24.088724,11.375844,1.887,1095.339966
"2010-07-14",7.266144,11.7725,20.507021,46.891361,19.035614,57.494892,31.627342,22.125319,24.177696,11.437468,1.814,1095.170044
"2010-07-15",7.392481,11.795,20.563446,46.612892,19.179939,57.543823,31.543808,21.943056,24.055246,11.53457,1.741,1096.47998
"2010-07-16",7.097697,11.4,20.063667,45.978592,18.241789,54.676895,31.445116,20.904945,23.906961,11.342232,1.69,1064.880005
"2010-07-19",7.277632,11.43,20.337742,46.079151,18.225758,55.626019,31.551409,20.690981,23.493677,11.355304,1.706,1071.25
"2010-07-20",7.220204,11.58,20.539263,45.313362,18.482344,55.968479,31.877897,21.039658,24.09734,11.661551,1.675,1083.47998
"2010-07-21",7.024961,11.3175,20.249073,44.184013,18.089445,56.027195,31.521046,20.532488,24.322155,11.387051,1.647,1069.589966
"2010-07-22",7.204894,11.6375,20.829454,44.106651,18.658745,54.520348,31.751759,20.08079,24.779438,11.601793,1.671,1093.670044
"2010-07-23",7.396309,11.805,20.805275,44.578514,18.722893,55.440105,32.097851,20.239281,24.867451,11.779192,1.729,1102.660034
"2010-07-26",7.453732,11.9075,21.03904,44.663597,18.931376,57.318771,32.201687,20.595884,24.804317,11.978998,1.732,1115.01001
"2010-07-27",7.400135,11.9075,21.087406,44.942074,18.682804,57.377472,32.528545,20.675135,25.26351,12.068626,1.787,1113.839966
"2010-07-28",7.488186,12.22,20.918129,44.733204,18.754967,56.976299,32.247818,20.255129,24.965033,11.909904,1.707,1106.130005
"2010-07-29",7.32357,12.305,20.982615,44.733204,18.610638,56.330509,30.040543,19.850981,24.692377,11.852017,1.701,1101.530029
"2010-07-30",7.453732,12.525,20.805275,44.93433,18.498383,56.242451,30.371264,19.67664,24.610109,11.803466,1.598,1101.599976
"2010-08-02",7.457559,12.7075,21.224443,45.421654,19.083717,57.827576,30.090532,20.088722,25.050171,12.091037,1.64,1125.859985
